t1,t2,q
36.93742205,36.93791369,2.563926272
36.93791369,36.93846209,2.56402982
36.93846209,36.93897037,2.564041888
36.93897037,36.93958936,2.564200967
36.93958936,36.94015582,2.564207346
36.94015582,36.94066575,2.564204714
36.94066575,36.94112289,2.564200448
36.94112289,36.94158147,2.564245398
36.94158147,36.94203176,2.564280746
36.94203176,36.94252369,2.56436524
36.94252369,36.94307411,2.564470532
36.94307411,36.94348133,2.564379724
36.94348133,36.94395486,2.564484775
36.94395486,36.94442987,2.564531326
36.94442987,36.94498744,2.564659083
36.94498744,36.94550802,2.564675163
36.94550802,36.94602081,2.564716905
36.94602081,36.9464067,2.564638803
36.9464067,36.94684482,2.564727757
36.94684482,36.94730242,2.56478893
36.94730242,36.94772036,2.564792816
36.94772036,36.94812254,2.564816826
36.94812254,36.94859526,2.56492564
36.94859526,36.94902881,2.564931459
36.94902881,36.9494141,2.564924448
36.9494141,36.94987758,2.565039312
36.94987758,36.95029678,2.565039133
36.95029678,36.95067392,2.565036968
36.95067392,36.95106044,2.565082229
36.95106044,36.95154543,2.565217492
36.95154543,36.95188203,2.565115248
36.95188203,36.95227641,2.565205066
36.95227641,36.95263601,2.565207811
36.95263601,36.95307181,2.56531824
36.95307181,36.95345333,2.565305426
36.95345333,36.95380841,2.565315287
36.95380841,36.95418651,2.565372107
36.95418651,36.95455816,2.565401634
36.95455816,36.9549035,2.565410683
36.9549035,36.9553367,2.565531418
36.9553367,36.95565085,2.56545359
36.95565085,36.95605193,2.565570415
36.95605193,36.95637276,2.565528325
36.95637276,36.95673287,2.565598144
36.95673287,36.95713176,2.565671196
36.95713176,36.9574418,2.565620292
36.9574418,36.95778172,2.565679687
36.95778172,36.95810327,2.565693664
36.95810327,36.95848339,2.565782832
36.95848339,36.95878474,2.565740239
36.95878474,36.95917327,2.56585609
36.95917327,36.95946233,2.565793595
36.95946233,36.95979682,2.565866537
36.95979682,36.96009912,2.565866175
36.96009912,36.96041248,2.565905998
36.96041248,36.96075774,2.565967725
